DateTime,PPM25,PPM10,MEAN25,MEAN10
2018-02-17 18:15:00,4.0,4.5,,
2018-02-17 18:30:00,4.0,4.0,,
2018-02-17 18:45:00,4.0,4.0,,
2018-02-17 19:00:00,3.0,3.0,,
2018-02-17 19:15:00,7.0,14.0,,
2018-02-17 19:30:00,7.0,14.0,,
2018-02-17 19:45:00,6.0,12.0,,
2018-02-17 20:00:00,5.0,10.0,,
2018-02-17 20:15:00,4.0,8.0,,
2018-02-17 20:30:00,3.0,7.0,,
2018-02-17 20:45:00,3.0,5.0,,
2018-02-17 21:00:00,3.0,6.0,,
2018-02-17 21:15:00,3.0,5.0,,
2018-02-17 21:30:00,2.0,4.0,,
2018-02-17 21:45:00,2.0,4.0,,
2018-02-17 22:00:00,2.0,4.0,,
2018-02-17 22:15:00,4.0,13.0,,
2018-02-17 22:30:00,4.0,12.0,,
2018-02-17 22:45:00,4.0,11.0,,
2018-02-17 23:00:00,3.0,8.0,,
2018-02-17 23:15:00,3.0,9.0,,
2018-02-17 23:30:00,3.0,7.0,,
2018-02-17 23:45:00,3.0,7.0,,
2018-02-18 00:00:00,3.0,6.0,,
2018-02-18 00:15:00,2.0,5.0,,
2018-02-18 00:30:00,2.0,5.0,,
2018-02-18 00:45:00,2.0,5.0,,
2018-02-18 01:00:00,2.0,4.0,,
2018-02-18 01:15:00,2.0,4.0,,
2018-02-18 01:30:00,2.0,4.0,,
2018-02-18 01:45:00,2.0,3.0,,
2018-02-18 02:00:00,2.0,3.0,,
2018-02-18 02:15:00,1.0,3.0,,
2018-02-18 02:30:00,1.0,2.0,,
2018-02-18 02:45:00,1.0,2.0,,
2018-02-18 03:00:00,1.0,2.0,,
2018-02-18 03:15:00,1.0,2.0,,
2018-02-18 03:30:00,1.0,2.0,,
2018-02-18 03:45:00,1.0,2.0,,
2018-02-18 04:00:00,1.0,2.0,,
2018-02-18 04:15:00,1.0,2.0,,
2018-02-18 04:30:00,1.0,2.0,,
2018-02-18 04:45:00,1.0,1.0,,
2018-02-18 05:00:00,1.0,1.0,,
2018-02-18 05:15:00,1.0,1.0,,
2018-02-18 05:30:00,1.0,2.0,,
2018-02-18 05:45:00,1.0,2.0,,
2018-02-18 06:00:00,1.0,2.0,,
2018-02-18 06:15:00,1.0,1.0,,
2018-02-18 06:30:00,1.0,2.0,,
2018-02-18 06:45:00,1.0,2.0,,
2018-02-18 07:00:00,1.0,1.0,,
2018-02-18 07:15:00,1.0,1.0,,
2018-02-18 07:30:00,1.0,2.0,,
2018-02-18 07:45:00,1.0,2.0,,
2018-02-18 08:00:00,1.0,2.0,,
2018-02-18 08:15:00,1.0,2.0,,
2018-02-18 08:30:00,1.0,2.0,,
2018-02-18 08:45:00,1.0,2.0,,
2018-02-18 09:00:00,4.0,4.0,,
2018-02-18 09:15:00,3.0,3.0,,
2018-02-18 09:30:00,2.0,2.0,,
2018-02-18 09:45:00,2.0,2.0,,
2018-02-18 10:00:00,2.0,2.0,,
2018-02-18 10:15:00,3.0,3.0,,
2018-02-18 10:30:00,5.0,5.0,,
2018-02-18 10:45:00,6.0,7.0,,
2018-02-18 11:00:00,5.0,6.0,,
2018-02-18 11:15:00,5.0,6.0,,
2018-02-18 11:30:00,5.0,6.0,,
2018-02-18 11:45:00,5.0,6.0,,
2018-02-18 12:00:00,5.0,6.0,,
2018-02-18 12:15:00,6.0,6.0,,
2018-02-18 12:30:00,5.0,5.0,,
2018-02-18 12:45:00,5.0,9.0,,
2018-02-18 13:00:00,5.0,8.0,,
2018-02-18 13:15:00,5.0,7.0,,
2018-02-18 13:30:00,5.0,6.0,,
2018-02-18 13:45:00,5.0,6.0,,
2018-02-18 14:00:00,5.0,5.0,,
2018-02-18 14:15:00,5.0,5.0,,
2018-02-18 14:30:00,8.0,8.0,,
2018-02-18 14:45:00,12.0,13.0,,
2018-02-18 15:00:00,17.0,18.0,,
2018-02-18 15:15:00,14.0,15.0,,
2018-02-18 15:30:00,10.0,11.0,,
2018-02-18 15:45:00,9.0,10.0,,
2018-02-18 16:00:00,8.0,9.0,,
2018-02-18 16:15:00,7.0,8.0,,
2018-02-18 16:30:00,7.0,8.0,,
2018-02-18 16:45:00,7.0,7.0,,
2018-02-18 17:00:00,6.0,7.0,,
2018-02-18 17:15:00,6.0,7.0,,
2018-02-18 17:30:00,6.0,7.0,,
2018-02-18 17:45:00,9.0,11.0,,
2018-02-18 18:00:00,8.0,10.0,,
2018-02-18 18:15:00,9.0,12.0,,
2018-02-18 18:30:00,8.0,11.0,,
2018-02-18 18:45:00,8.0,10.0,,
2018-02-18 19:00:00,8.0,10.0,,
2018-02-18 19:15:00,7.0,9.0,,
2018-02-18 19:30:00,7.0,8.0,,
2018-02-18 19:45:00,7.0,8.0,,
2018-02-18 20:00:00,7.0,8.0,,
2018-02-18 20:15:00,7.0,8.0,,
2018-02-18 20:30:00,7.0,7.5,,
2018-02-18 20:45:00,6.0,7.0,,
2018-02-18 21:00:00,6.0,7.0,,
2018-02-18 21:15:00,6.0,7.0,,
2018-02-18 21:30:00,6.0,7.0,,
2018-02-18 21:45:00,6.0,7.0,,
2018-02-18 22:00:00,6.0,7.0,,
2018-02-18 22:15:00,6.0,6.0,,
2018-02-18 22:30:00,6.0,7.0,,
2018-02-18 22:45:00,6.0,7.0,,
